ranking,comment_time,usefule_num
,2016/12/6,2
5,2016/12/2,3
5,2016/9/15,7
4,2016/9/8,2
5,2016/12/2,5
4,2017/8/12,0
5,2017/3/2,1
5,2016/12/13,5
5,2016/12/5,2
3,2016/12/9,4
1,2016/11/14,18
4,2016/10/6,1
5,2016/10/13,2
3,2017/5/15,3
4,2016/12/2,3
4,2016/10/10,4
,2016/12/9,2
4,2016/9/17,1
4,2017/5/2,2
4,2016/12/26,0
3,2016/12/31,8
4,2016/12/3,1
5,2016/12/2,30
4,2016/12/5,0
4,2016/10/4,4
3,2016/12/13,1
4,2016/12/1,6
3,2016/9/21,4
3,2016/12/4,2
5,2016/12/3,2
3,2017/1/9,3
4,2016/12/4,4
4,2017/2/9,1
4,2016/11/10,2
3,2017/2/5,0
2,2016/12/4,5
4,2016/9/16,8
4,2016/9/8,5
5,2016/11/20,1
4,2016/12/4,0
5,2016/11/12,4
5,2016/12/4,7
5,2016/12/11,1
3,2016/12/8,2
4,2016/12/3,1
5,2016/10/15,5
5,2016/11/21,6
4,2016/12/9,4
4,2016/12/3,2
3,2016/12/3,2
5,2016/12/2,9
5,2016/12/11,1
3,2017/4/24,0
2,2016/12/10,3
4,2016/9/12,5
4,2016/12/4,2
3,2017/1/5,2
1,2016/12/5,8
4,2016/9/8,7
5,2016/12/2,7
4,2016/9/16,3
3,2016/12/3,1
3,2016/12/5,2
5,2016/12/2,3
5,2016/12/4,3
4,2017/3/19,0
5,2016/12/3,4
4,2016/12/3,1
4,2016/12/3,1
3,2016/12/4,5
3,2017/3/19,1
1,2016/12/1,11
5,2016/9/19,3
5,2016/12/4,2
3,2016/12/14,1
5,2016/12/2,2
4,2016/12/5,0
4,2016/9/26,2
4,2016/12/7,2
4,2016/12/3,1
4,2016/11/7,2
4,2016/11/14,2
5,2016/12/5,2
5,2016/12/4,3
3,2016/12/7,9
4,2016/12/5,0
4,2016/12/4,1
5,2016/12/2,7
4,2016/9/20,3
1,2016/9/11,4
5,2016/9/18,3
3,2016/12/10,3
3,2016/12/2,5
5,2016/12/8,2
5,2016/12/2,2
4,2016/12/3,1
5,2016/12/6,3
4,2016/9/25,4
4,2016/12/22,0
3,2016/12/1,9
4,2016/9/9,4
5,2016/10/14,3
,2016/12/21,0
1,2017/1/5,1
4,2016/12/12,1
3,2016/10/3,5
5,2016/12/4,2
5,2016/9/2,4
4,2016/12/5,1
4,2016/9/3,1
5,2016/9/16,8
3,2016/12/8,2
5,2016/11/3,2
4,2017/2/1,0
3,2016/12/5,1
3,2016/11/10,4
5,2016/9/8,1
5,2016/12/2,2
3,2016/12/3,2
4,2016/9/24,2
4,2016/12/4,3
4,2016/9/14,3
5,2016/12/3,2
1,2016/12/7,3
5,2016/12/4,3
3,2016/10/3,8
3,2016/12/4,15
4,2016/12/4,1
3,2016/12/5,3
4,2016/11/25,2
4,2016/12/6,1
4,2017/5/13,0
5,2016/12/10,3
5,2016/12/2,1
3,2017/2/1,1
3,2016/12/4,2
3,2016/12/4,4
5,2016/12/2,1
2,2016/12/3,3
5,2016/12/5,2
4,2016/12/11,5
5,2016/9/24,3
3,2016/12/2,3
3,2016/12/27,2
3,2016/12/9,2
4,2016/12/24,1
4,2017/5/19,0
4,2016/12/22,2
4,2016/12/3,2
5,2016/12/6,4
4,2016/12/9,2
4,2016/12/5,0
2,2016/12/2,7
5,2016/12/5,2
4,2016/12/9,0
5,2016/10/13,3
5,2016/12/2,9
5,2016/12/13,2
5,2016/9/8,2
4,2016/12/5,1
3,2016/10/12,4
5,2016/12/6,3
5,2016/12/3,3
5,2016/12/3,3
3,2016/12/2,5
2,2016/12/4,6
4,2016/12/3,2
3,2017/6/11,0
3,2016/12/3,2
4,2016/12/4,1
4,2016/12/2,2
5,2016/12/3,1
5,2016/12/2,2
,2016/12/3,3
4,2016/10/10,3
5,2016/12/4,4
5,2017/8/22,0
5,2016/9/23,14
4,2016/12/3,2
1,2016/12/3,12
5,2016/12/23,3
4,2016/12/19,0
5,2016/10/17,2
4,2016/12/4,3
5,2016/9/12,2
,2016/12/7,1
4,2017/3/4,0
1,2016/12/2,9
5,2016/9/15,5
